<!-- Mode: physical lines (non-empty) -->

| Lines | File |
| 78 | `tools/docx_renderer/table_cell/fill_cell_cleanup.py` |
| 77 | `frontend/src/lib/platform.test.ts` |
| 76 | `tools/diagnostics/check_single_slot_output.py` |
| 76 | `tools/docx_parser/no_school.py` |
| 75 | `tools/test_phase1_parser.py` |
| 75 | `tools/diagnostics/check_plan_data.py` |
| 75 | `tools/diagnostics/objectives_layout_heights.py` |
| 74 | `tools/diagnostics/diagnose_cross_contamination.py` |
| 73 | `backend/migrations/create_lesson_mode_sessions_table.py` |
| 72 | `frontend/src/components/batch_processor/BatchAlerts.tsx` |
| 72 | `tools/run_supabase_migration.py` |
| 72 | `tools/batch_processor_pkg/week_flow_merge_render.py` |
| 72 | `tools/diagnostics/check_page_and_table_widths.py` |
| 72 | `tools/diagnostics/check_plan_detail.py` |
| 72 | `tools/maintenance/cleanup_users.py` |
| 71 | `backend/services/objectives/subject_parsing.py` |
| 71 | `tools/diagnostics/check_image_xml_structure.py` |
| 71 | `tools/diagnostics/debug_extraction.py` |
| 70 | `frontend/src/components/ui/Card.tsx` |
| 70 | `tools/test_project_switch.py` |
| 70 | `tools/db/vocabulary_processor.py` |
| 70 | `tools/docx_parser/table_extraction.py` |
| 70 | `tools/maintenance/cleanup_demo_data.py` |
| 69 | `backend/routers/analytics.py` |
| 69 | `tools/validate_threshold_link_analysis.py` |
| 69 | `tools/verify_project_data.py` |
| 69 | `tools/maintenance/fix_plan_status.py` |
| 68 | `backend/llm/token_limits.py` |
| 68 | `tools/test_auto_project_selection.py` |
| 68 | `tools/test_switch_mechanism.py` |
| 67 | `backend/migrations/create_lesson_steps_table.py` |
| 66 | `backend/database/get_db.py` |
| 66 | `tools/diagnostics/slot_configuration_output.py` |
| 66 | `tools/maintenance/move_root_tests.py` |
| 66 | `tools/scraper/ingest_all_unit2_api.py` |
| 65 | `backend/lesson_schema_support.py` |
| 65 | `frontend/src/components/SyncTestButton.tsx` |
| 65 | `frontend/src/components/analytics/AnalyticsHeader.tsx` |
| 65 | `tools/db/inspect_standard_fidelity.py` |
| 64 | `tools/db/recreate_and_ingest_sample.py` |
| 64 | `tools/diagnostics/analyze_input_hyperlinks.py` |
| 64 | `tools/diagnostics/check_recent_output_widths.py` |
| 64 | `tools/maintenance/archive_root_docs.py` |
| 63 | `frontend/src/components/analytics/DailyChart.tsx` |
| 63 | `frontend/src/components/layouts/DesktopLayout.tsx` |
| 63 | `tools/diagnostics/analyze_6_vs_5_pattern.py` |
| 63 | `tools/maintenance/fix_template_table_widths.py` |
| 63 | `tools/strategy_converter/test_converter.py` |
| 62 | `backend/performance_tracker_export.py` |
| 62 | `backend/supabase/query_helpers.py` |
| 62 | `backend/services/sentence_frames/pdf_renderer.py` |
| 62 | `tools/detailed_check.py` |
| 62 | `tools/scraper/gap_detect_db.py` |
| 62 | `tools/strategy_converter/debug_test.py` |
| 61 | `tools/extract_plans_router.py` |
| 61 | `tools/find_referenced_links.py` |
| 61 | `tools/diagnostics/analyze_signature_spacing.py` |
| 61 | `tools/diagnostics/check_wilson_both_projects.py` |
| 61 | `tools/scraper/map_lessons_to_rows.py` |
| 60 | `tools/check_db_config.py` |
| 60 | `tools/diagnostics/check_processing_status.py` |
| 60 | `tools/scraper/analyze_table_structure.py` |
| 60 | `tools/utilities/run_analytics_tests.py` |
| 59 | `backend/redis_lua_scripts.py` |
| 59 | `backend/database/lesson_steps.py` |
| 59 | `tools/maintenance/configure_wilson_slots.py` |
| 59 | `tools/maintenance/verify_migration.py` |
| 59 | `tools/utilities/recalculate_costs.py` |
| 58 | `frontend/src/components/schedule_input/ScheduleInputTable.tsx` |
| 58 | `tools/find_all_links.py` |
| 58 | `tools/diagnostics/check_table_alignment.py` |
| 57 | `backend/supabase/database/__init__.py` |
| 56 | `backend/ipc_database.py` |
| 56 | `tools/check_snapshot_updates.py` |
| 56 | `tools/maintenance/cleanup_stuck_plans.py` |
| 56 | `tools/scraper/ingest_from_api_json.py` |
| 55 | `backend/rate_limit_middleware.py` |
| 55 | `tools/test_json_merger.py` |
| 55 | `tools/scraper/rebuild_registry.py` |
| 55 | `tools/scraper/test_link_extraction.py` |
| 55 | `tools/batch_processor_pkg/combine_render/multi_slot_metadata.py` |
| 54 | `backend/migrations/add_user_template_fields.py` |
| 54 | `tools/diagnostics/check_lesson_json_in_db.py` |
| 54 | `tools/diagnostics/check_output_file.py` |
| 54 | `tools/diagnostics/debug_file_resolution.py` |
| 53 | `backend/errors.py` |
| 53 | `backend/migrations/add_plan_slot_group_id_to_schedules.py` |
| 53 | `frontend/src/components/schedule_input/ScheduleColorLegend.tsx` |
| 53 | `tools/check_paragraphs.py` |
| 53 | `tools/test_structure_detector.py` |
| 53 | `tools/verify_both_projects.py` |
| 53 | `tools/diagnostics/check_page_margins.py` |
| 53 | `tools/scraper/analyze_sub_patterns.py` |
| 52 | `backend/services/sorting_utils.py` |
| 52 | `tools/check_user_counts.py` |
| 52 | `tools/restore_poem_plan_from_export.py` |
| 52 | `tools/batch_processor_pkg/signature_paragraph_helpers.py` |
| 52 | `tools/diagnostics/check_operations.py` |
| 52 | `tools/diagnostics/check_raw_db.py` |
| 52 | `tools/scraper/test_full_ingestion.py` |
| 51 | `tools/extract_users_router.py` |
| 51 | `tools/diagnostics/check_old_databases.py` |
| 51 | `tools/diagnostics/check_w47_plans.py` |
| 51 | `tools/scraper/check_db_ingestion.py` |
| 50 | `frontend/src/lib/platform.ts` |
| 50 | `frontend/src/components/schedule_input/index.tsx` |
| 50 | `frontend/src/components/ui/Dialog.tsx` |
| 50 | `tools/diagnostics/check_db_step.py` |
| 50 | `tools/diagnostics/check_supabase_schema.py` |
| 49 | `tools/migrate_db_add_week_folder.py` |
| 49 | `tools/batch_processor_pkg/orchestrator_parallel.py` |
| 49 | `tools/diagnostics/check_env_db.py` |
| 48 | `frontend/src/lib/utils.ts` |
| 48 | `frontend/src/components/ui/Alert.tsx` |
| 48 | `tools/db/seed_grade3_ela_sample_unit.py` |
| 48 | `tools/docx_renderer/template_structure.py` |
| 48 | `tools/docx_renderer/table_cell/__init__.py` |
| 47 | `frontend/src/components/analytics/WorkflowChart.tsx` |
| 47 | `tools/db/batch_ingest_units.py` |
| 47 | `tools/scraper/test_table_extractor.py` |
| 46 | `frontend/src/components/schedule_input/ScheduleInputHeader.tsx` |
| 46 | `tools/db/seed_grade2_ela_unit8_sample.py` |
| 45 | `backend/llm/post_process.py` |
| 45 | `backend/supabase/auth.py` |
| 45 | `tools/scraper/analyze_curriculum.py` |
| 45 | `tools/utilities/quick_check_morais_output.py` |
| 44 | `backend/scripts/repair_analytics.py` |
| 44 | `tools/check_lesson_json_in_db.py` |
| 44 | `tools/search_all_text.py` |
| 43 | `tools/db/query_curriculum.py` |
| 43 | `tools/diagnostics/check_hyperlinks_now.py` |
| 43 | `tools/maintenance/configure_test_slot.py` |
| 42 | `tools/find_referenced_sections.py` |
| 42 | `tools/diagnostics/analyze_template_widths.py` |
| 41 | `tools/maintenance/fix_missing_user.py` |
| 40 | `backend/settings_store.py` |
| 40 | `frontend/src/components/layouts/MobileLayout.test.tsx` |
| 40 | `tools/sync_users_to_supabase.py` |
| 39 | `backend/scripts/inspect_db.py` |
| 39 | `tools/quick_check.py` |
| 39 | `tools/diagnostics/check_db_direct.py` |
| 39 | `tools/diagnostics/check_duplicates.py` |
| 39 | `tools/diagnostics/check_vocab_sentences.py` |
| 39 | `tools/diagnostics/debug_ela_209_matching.py` |
| 39 | `tools/docx_renderer/inject_inline.py` |
| 39 | `tools/scraper/explore_math_unit.py` |
| 39 | `tools/scraper/process_unit2_api.py` |
| 38 | `frontend/src/components/analytics/ErrorBreakdown.tsx` |
| 38 | `frontend/src/components/schedule_input/NoUserSchedule.tsx` |
| 38 | `tools/diagnostics/debug_lesson_cards.py` |
| 38 | `tools/diagnostics/debug_thursday_schedule.py` |
| 37 | `frontend/src/lib/mobile.ts` |
| 37 | `tools/diagnostics/check_recent_plans.py` |
| 36 | `backend/llm/__init__.py` |
| 36 | `frontend/src/components/ui/Button.tsx` |
| 36 | `tools/quick_test.py` |
| 36 | `tools/db/seed_reference_unit.py` |
| 35 | `backend/llm/sanitize_lesson_json.py` |
| 35 | `tools/maintenance/verify_backend_code.py` |
| 35 | `tools/scraper/ingest_failure_codes.py` |
| 34 | `frontend/src/components/layouts/MobileLayout.tsx` |
| 34 | `tools/debug_structure.py` |
| 34 | `tools/diagnostics/check_latest_plan.py` |
| 34 | `tools/maintenance/fix_daniela_parent_folder.py` |
| 34 | `tools/scraper/init_resource_db.py` |
| 34 | `tools/scraper/pdf_processor.py` |
| 34 | `tools/utilities/find_lesson_plans.py` |
| 33 | `tools/query_26_w09.py` |
| 33 | `tools/diagnostics/check_backend_logs.py` |
| 33 | `tools/diagnostics/check_recent_plan.py` |
| 33 | `tools/maintenance/fix_daniela_path.py` |
| 32 | `backend/services/objectives/printing.py` |
| 32 | `tools/check_supabase_data.py` |
| 32 | `tools/diagnostics/check_slots.py` |
| 32 | `tools/strategy_converter/debug_fok.py` |
| 32 | `tools/docx_renderer/table_cell/section_mappings.py` |
| 31 | `frontend/src/components/analytics/ModelChart.tsx` |
| 31 | `frontend/src/components/layouts/DesktopLayout.test.tsx` |
| 31 | `tools/batch_processor_pkg/context.py` |
| 31 | `tools/scraper/analyze_raw_xml.py` |
| 31 | `tools/scraper/debug_stream.py` |
| 30 | `backend/vocabulary_schema_models.py` |
| 30 | `backend/llm/prompt_fragments.py` |
| 30 | `tools/diagnostics/check_db_url.py` |
| 29 | `backend/performance_tracker_sampling.py` |
| 29 | `tools/db/audit_curriculum.py` |
| 29 | `tools/diagnostics/check_exact_files.py` |
| 29 | `tools/diagnostics/check_users.py` |
| 29 | `tools/diagnostics/check_wilson_slots.py` |
| 29 | `tools/docx_renderer/__main__.py` |
| 29 | `tools/maintenance/fix_daniela_file_patterns.py` |
| 29 | `tools/maintenance/fix_daniela_teachers.py` |
| 29 | `tools/scraper/html_processor.py` |
| 29 | `tools/scraper/ingestion.py` |
| 28 | `backend/lesson_schema_enums.py` |
| 28 | `tools/diagnostics/check_last_processing.py` |
| 28 | `tools/diagnostics/check_wilson_config.py` |
| 28 | `tools/maintenance/fix_daniela_slots_paths.py` |
| 28 | `tools/scraper/analyze_docx_alt.py` |
| 27 | `frontend/src/components/ui/Progress.tsx` |
| 27 | `tools/db/batch_ingest_units_remnants.py` |
| 27 | `tools/scraper/explore_unit_1.py` |
| 27 | `tools/scraper/ocr_processor.py` |
| 26 | `backend/routers/settings.py` |
| 26 | `tools/check_all_tables.py` |
| 26 | `tools/check_db_schema.py` |
| 26 | `tools/maintenance/fix_wilson_patterns.py` |
| 25 | `tools/check_tablet_export.py` |
| 25 | `tools/db/find_json_markers_full.py` |
| 25 | `tools/diagnostics/check_db_schema.py` |
| 25 | `tools/diagnostics/debug_lesson_json.py` |
| 25 | `tools/maintenance/verify_daniela_config.py` |
| 25 | `tools/utilities/list_wilson_files.py` |
| 24 | `frontend/src/components/ui/Input.tsx` |
| 24 | `frontend/src/components/ui/Select.tsx` |
| 24 | `tools/batch_processor.py` |
| 24 | `tools/db/find_json_markers.py` |
